,Class,return,ret_1,ret_2,ret_3,ret_4,ret_5,return_sign,EMA_12,EMA_26,10 Day ROI,20 Day ROI,30 Day ROI,Momentum,MACD_12_26,Williams,ATR_14,CCI,10_day_RSI,14_day_RSI,30_day_RSI,SRSI_10,SRSI_14,SRSI_30
1521,1,0.015939255537936958,-0.0027274851639997877,-0.00552004973114717,0.001097763971423804,-0.00016435790585866972,-0.010109419697924005,1.0,9418.016533119306,9354.582092135388,0.009270420036693643,0.016884402254149673,0.029527985276604957,80.2998046875,63.43444098391774,-9.737765366383526,87.83900784266274,80.38461335205935,59.07152883140907,68.14325973523631,61.21182585573188,0.5865210076558893,0.6713394772233873,0.6284601526852384
1522,1,0.008974958266515953,0.015939255537936958,-0.0027274851639997877,-0.00552004973114717,0.001097763971423804,-0.00016435790585866972,1.0,9445.260083312489,9372.398204523508,0.020657512650986514,0.027076123608953957,0.04255462959553742,167.19921875,72.8618787889809,-3.2977035024134747,90.7271401303077,145.46836202126025,67.80667853420394,70.81389680814287,65.44176931044174,0.6747676680847383,0.6996740549816862,0.7018137529397014
1523,1,0.00102143611312,0.008974958266515953,0.015939255537936958,-0.0027274851639997877,-0.00552004973114717,0.001097763971423804,1.0,9469.820130591337,9389.620588679174,0.01688652607657704,0.03233544448417802,0.04962414167392088,166.650390625,80.19954191216311,-10.886365990057994,90.63682873793334,145.56910656028248,65.6188916982561,71.11343665625421,68.53018274385973,0.6526655990222217,0.7028520738911529,0.7553715006592855
1524,0,0.0020457696866569286,0.00102143611312,0.008974958266515953,0.015939255537936958,-0.0027274851639997877,-0.00552004973114717,1.0,9493.624695836901,9407.02275282794,0.01180580879260953,0.03336447062600637,0.05309487710985449,238.3994140625,86.60194300896183,-4.4580252369676066,85.76519948954223,135.9959566938035,62.11695583546356,67.76806565903435,69.67044903931114,0.6172873679166249,0.6673587919275648,0.7751454382817962
1525,1,-0.0003428528870922376,0.0020457696866569286,0.00102143611312,0.008974958266515953,0.015939255537936958,-0.0027274851639997877,-1.0,9513.25935801584,9422.891437803646,0.010025457313072462,0.033215362861712575,0.05668216198893269,260.7001953125,90.36792021219298,-9.20593644954652,79.70978747426993,126.43432953576459,60.536205276721915,66.583270623418,71.45766576638175,0.6013178696794791,0.65478850770404,0.8061384722949707
1526,0,-0.0005353140834091219,-0.0003428528870922376,0.0020457696866569286,0.00102143611312,0.008974958266515953,0.015939255537936958,-1.0,9529.080935148018,9437.203154216339,0.0197943050969489,0.02737200269851296,0.056307970492118414,106.349609375,91.87778093167981,-10.878416946787594,75.04848247770062,103.71431407573192,75.77675939137777,68.44988914862122,71.25030160819921,0.7552852370931381,0.67459271408012,0.802542464989131
1527,1,0.00388935141525959,-0.0005353140834091219,-0.0003428528870922376,0.0020457696866569286,0.00102143611312,0.008974958266515953,1.0,9548.22232974063,9453.225142792908,0.02392893433614697,0.039654098742899116,0.05659773951080382,58.400390625,94.9971869477231,-6.0268264403467775,72.69540356400721,117.35654177958811,78.34875444839858,68.06107884717744,71.3571690165159,0.7812687613765255,0.6704675651292382,0.8043957070557984
1528,0,0.002237489964779682,0.00388935141525959,-0.0005353140834091219,-0.0003428528870922376,0.0020457696866569286,0.00102143611312,1.0,9567.741911222842,9469.660288465655,0.0250946530739279,0.038763997644267884,0.060935938213796864,70.19921875,98.08162275718678,-3.5018355598386854,69.20268308880625,113.23151730741516,78.94407714156145,65.33858238746114,72.86453160007844,0.7872829959731371,0.6415827763958257,0.8305356480685006
1529,0,-0.003922359487981697,0.002237489964779682,0.00388935141525959,-0.0005353140834091219,-0.0003428528870922376,0.0020457696866569286,-1.0,9578.420138823174,9482.06696269968,0.0267415276289097,0.03437865745173133,0.045476509031874696,12.6005859375,96.35317612349354,-19.624514905451388,70.52227326029876,98.6749403317818,81.77215189873418,60.030670423090044,68.1535030182465,0.8158535598735784,0.5852675826113725,0.7488393060064638
1530,0,0.002775716774745085,-0.003922359487981697,0.002237489964779682,0.00388935141525959,-0.0005353140834091219,-0.0003428528870922376,1.0,9591.570946792686,9495.536105508963,0.032407347032712815,0.027276752231244955,0.038392194383228134,42.650390625,96.03484128372293,-12.34856151702778,67.51930349225893,88.40289903646666,88.28739550901378,74.13285297553111,66.34945715705446,0.8816736671470248,0.7348870843203748,0.7175544294213521
1531,1,-0.0017229472523487832,0.002775716774745085,-0.003922359487981697,0.002237489964779682,0.00388935141525959,-0.0005353140834091219,-1.0,9600.136954978427,9506.774171767558,0.014458844869738953,0.023863304471620467,0.03158737607679965,31.150390625,93.36278321086866,-16.87743875390798,64.81008906829108,80.54198251231996,76.08122226091595,71.89775186694484,63.880297860390336,0.7583610666296065,0.7111733993717971,0.6747354825603911
1532,0,0.0021767861307626646,-0.0017229472523487832,0.002775716774745085,-0.003922359487981697,0.002237489964779682,0.00388935141525959,1.0,9610.615884981746,9518.73534422922,0.007623723942743397,0.02843872376752476,0.03490626844353162,14.75,91.88054075252512,-11.165475346173563,65.24869177585227,68.26112390273803,68.35643428481806,72.48289345063539,65.16177659120422,0.6803215636324849,0.717381558417777,0.6969582568270427
1533,0,-0.005362874292141773,0.0021767861307626646,-0.0017229472523487832,0.002775716774745085,-0.003922359487981697,0.002237489964779682,-1.0,9611.505808926862,9525.969792110389,0.0011973054932693252,0.018104049900280084,0.03357146538275556,-58.69921875,85.53601681647342,-25.268478748808015,65.84886620573863,42.592029748370464,52.382937391233966,72.51833740831296,64.33919818091992,0.5189496576904062,0.71775760710858,0.6826935063564991
1534,0,-0.0009878956380873216,-0.005362874292141773,0.0021767861307626646,-0.0017229472523487832,0.002775716774745085,-0.003922359487981697,-1.0,9610.797283034268,9531.96465125962,-0.0018337911300437247,0.009950368275118925,0.03146949602567008,-30.25,78.83263177464869,-31.020761962239146,64.90235071164015,37.15862033102426,46.1822498806491,74.8763887163163,63.458570284466916,0.4563073465921877,0.7427757530867465,0.6674220902297855
1535,0,0.0011710332721861505,-0.0009878956380873216,-0.005362874292141773,0.0021767861307626646,-0.0017229472523487832,0.002775716774745085,1.0,9611.928530355919,9538.3487801015,-0.0003221628556580486,0.009700064627457155,0.03288249924990328,-45.75,73.5797502544192,-42.61321353403368,62.508729991754805,26.88674817775636,49.35181630302486,65.17366009426638,63.93973640009994,0.4883278226342391,0.6398330053063688,0.6757662365003078
